"Data";"Cambio"
2005-11-10;2,1757
2005-11-11;2,1633
2005-11-14;2,199
2005-11-16;2,1974
2005-11-17;2,1866
2005-11-18;2,2187
2005-11-21;2,2181
2005-11-22;2,2511
2005-11-23;2,238
2005-11-24;2,237
2005-11-25;2,2329
2005-11-28;2,2094
2005-11-29;2,198
2005-11-30;2,207
2005-12-01;2,2177
2005-12-02;2,2061
2005-12-05;2,1968
2005-12-06;2,1807
2005-12-07;2,18
2005-12-08;2,2127
2005-12-09;2,2446
2005-12-12;2,2634
2005-12-13;2,2565
2005-12-14;2,2779
2005-12-15;2,2957
2005-12-16;2,3356
2005-12-19;2,3735
2005-12-20;2,3497
2005-12-21;2,3168
2005-12-22;2,3254
2005-12-23;2,3327
2005-12-26;2,3325
2005-12-27;2,3526
2005-12-28;2,3483
2005-12-29;2,3407
2005-12-30;2,3407
2006-01-02;2,337
2006-01-03;2,346
2006-01-04;2,3066
2006-01-05;2,2825
2006-01-06;2,287
2006-01-09;2,2632
2006-01-10;2,2638
2006-01-11;2,2679
2006-01-12;2,2729
2006-01-13;2,2747
2006-01-16;2,2762
2006-01-17;2,2924
2006-01-18;2,3276
2006-01-19;2,3225
2006-01-20;2,2756
2006-01-23;2,2609
2006-01-24;2,244
2006-01-25;2,2433
2006-01-26;2,2382
2006-01-27;2,2152
2006-01-30;2,2116
2006-01-31;2,216
2006-02-01;2,2217
2006-02-02;2,221
2006-02-03;2,2202
2006-02-06;2,1877
2006-02-07;2,1866
2006-02-08;2,1956
2006-02-09;2,1778
2006-02-10;2,1575
2006-02-13;2,1621
2006-02-14;2,1435
2006-02-15;2,1375
2006-02-16;2,1177
2006-02-17;2,1186
2006-02-20;2,1182
2006-02-21;2,1297
2006-02-22;2,1484
2006-02-23;2,1353
2006-02-24;2,1355
2006-03-01;2,1181
2006-03-02;2,1134
2006-03-03;2,1155
2006-03-06;2,1261
2006-03-07;2,1682
2006-03-08;2,1778
2006-03-09;2,1615
2006-03-10;2,1447
2006-03-13;2,1349
2006-03-14;2,1269
2006-03-15;2,1215
2006-03-16;2,1067
2006-03-17;2,1188
2006-03-20;2,1386
2006-03-21;2,1591
2006-03-22;2,1553
2006-03-23;2,1506
2006-03-24;2,1628
2006-03-27;2,1804
2006-03-28;2,2238
2006-03-29;2,2228
2006-03-30;2,1952
2006-03-31;2,1724
2006-04-03;2,1542
2006-04-04;2,1293
2006-04-05;2,1344
2006-04-06;2,1299
2006-04-07;2,1409
2006-04-10;2,1522
2006-04-11;2,142
2006-04-12;2,1336
2006-04-13;2,1426
2006-04-17;2,1343
2006-04-18;2,1292
2006-04-19;2,1143
2006-04-20;2,1236
2006-04-24;2,1182
2006-04-25;2,1233
2006-04-26;2,1224
2006-04-27;2,1136
2006-04-28;2,0892
2006-05-02;2,0718
2006-05-03;2,0706
2006-05-04;2,0667
2006-05-05;2,0587
2006-05-08;2,0651
2006-05-09;2,0642
2006-05-10;2,0586
2006-05-11;2,0881
2006-05-12;2,1307
2006-05-15;2,1774
2006-05-16;2,1403
2006-05-17;2,1826
2006-05-18;2,1833
2006-05-19;2,193
2006-05-22;2,2883
2006-05-23;2,2601
2006-05-24;2,3711
2006-05-25;2,315
2006-05-26;2,252
2006-05-29;2,2566
2006-05-30;2,3235
2006-05-31;2,3005
2006-06-01;2,2713
2006-06-02;2,2595
2006-06-05;2,2557
2006-06-06;2,2686
2006-06-07;2,25
2006-06-08;2,2701
2006-06-09;2,2615
2006-06-12;2,2707
2006-06-13;2,3018
2006-06-14;2,2845
2006-06-16;2,2521
2006-06-19;2,2404
2006-06-20;2,2506
2006-06-21;2,2378
2006-06-22;2,2391
2006-06-23;2,2462
2006-06-26;2,2259
2006-06-27;2,2315
2006-06-28;2,2262
2006-06-29;2,2063
2006-06-30;2,1643
2006-07-03;2,1701
2006-07-04;2,1646
2006-07-05;2,1955
2006-07-06;2,184
2006-07-07;2,1765
2006-07-10;2,175
2006-07-11;2,1859
2006-07-12;2,1915
2006-07-13;2,2106
2006-07-14;2,213
2006-07-17;2,2126
2006-07-18;2,1962
2006-07-19;2,181
2006-07-20;2,1895
2006-07-21;2,1935
2006-07-24;2,1916
2006-07-25;2,1993
2006-07-26;2,1984
2006-07-27;2,1899
2006-07-28;2,18
2006-07-31;2,1762
2006-08-01;2,1905
2006-08-02;2,1821
2006-08-03;2,1835
2006-08-04;2,172
2006-08-07;2,1793
2006-08-08;2,1839
2006-08-09;2,1687
2006-08-10;2,1628
2006-08-11;2,1616
2006-08-14;2,1605
2006-08-15;2,148
2006-08-16;2,1329
2006-08-17;2,1365
2006-08-18;2,1456
2006-08-21;2,1361
2006-08-22;2,1355
2006-08-23;2,1354
2006-08-24;2,1523
2006-08-25;2,1571
2006-08-28;2,1473
2006-08-29;2,1419
2006-08-30;2,133
2006-08-31;2,1388
2006-09-01;2,1468
2006-09-04;2,1282
2006-09-05;2,1288
2006-09-06;2,1443
2006-09-08;2,1582
2006-09-11;2,1751
2006-09-12;2,1732
2006-09-13;2,17
2006-09-14;2,1593
2006-09-15;2,154
