"Data";"Cambio"
2003-02-17;3,6232
2003-02-18;3,5889
2003-02-19;3,5935
2003-02-20;3,6067
2003-02-21;3,6097
2003-02-24;3,587
2003-02-25;3,6013
2003-02-26;3,5817
2003-02-27;3,585
2003-02-28;3,5632
2003-03-05;3,5637
2003-03-06;3,526
2003-03-07;3,501
2003-03-10;3,5281
2003-03-11;3,5061
2003-03-12;3,4763
2003-03-13;3,4293
2003-03-14;3,3958
2003-03-17;3,4442
2003-03-18;3,4308
2003-03-19;3,4576
2003-03-20;3,483
2003-03-21;3,4462
2003-03-24;3,407
2003-03-25;3,3892
2003-03-26;3,3747
2003-03-27;3,4031
2003-03-28;3,3757
2003-03-31;3,3531
2003-04-01;3,3359
2003-04-02;3,2795
2003-04-03;3,2563
2003-04-04;3,2469
2003-04-07;3,1723
2003-04-08;3,1649
2003-04-09;3,1857
2003-04-10;3,2157
2003-04-11;3,2147
2003-04-14;3,1818
2003-04-15;3,1154
2003-04-16;3,0752
2003-04-17;3,0289
2003-04-22;3,0639
2003-04-23;3,0147
2003-04-24;3,0029
2003-04-25;3,0123
2003-04-28;2,9915
2003-04-29;2,9251
2003-04-30;2,8898
2003-05-02;2,9159
2003-05-05;2,9845
2003-05-06;3,0277
2003-05-07;2,9639
2003-05-08;2,9177
2003-05-09;2,8802
2003-05-12;2,8757
2003-05-13;2,8653
2003-05-14;2,8902
2003-05-15;2,9306
2003-05-16;2,9731
2003-05-19;2,9815
2003-05-20;3,0141
2003-05-21;3,0109
2003-05-22;2,9842
2003-05-23;2,9445
2003-05-26;2,9565
2003-05-27;3,0257
2003-05-28;3,014
2003-05-29;2,9488
2003-05-30;2,9656
2003-06-02;2,978
2003-06-03;2,964
2003-06-04;2,9112
2003-06-05;2,8929
2003-06-06;2,8491
2003-06-09;2,8682
2003-06-10;2,8603
2003-06-11;2,8692
2003-06-12;2,862
2003-06-13;2,857
2003-06-16;2,8508
2003-06-17;2,8744
2003-06-18;2,8902
2003-06-20;2,8933
2003-06-23;2,8788
2003-06-24;2,8616
2003-06-25;2,8559
2003-06-26;2,894
2003-06-27;2,8812
2003-06-30;2,872
2003-07-01;2,8443
2003-07-02;2,8219
2003-07-03;2,8332
2003-07-04;2,8299
2003-07-07;2,8676
2003-07-08;2,8823
2003-07-09;2,8671
2003-07-10;2,8922
2003-07-11;2,9029
2003-07-14;2,8753
2003-07-15;2,8554
2003-07-16;2,8677
2003-07-17;2,8563
2003-07-18;2,8774
2003-07-21;2,8828
2003-07-22;2,8826
2003-07-23;2,8878
2003-07-24;2,8961
2003-07-25;2,8885
2003-07-28;2,8965
2003-07-29;2,9155
2003-07-30;2,9473
2003-07-31;2,9655
2003-08-01;3,0006
2003-08-04;3,074
2003-08-05;3,0366
2003-08-06;3,039
2003-08-07;3,0069
2003-08-08;2,9892
2003-08-11;2,9945
2003-08-12;3,0237
2003-08-13;3,0309
2003-08-14;3,014
2003-08-15;2,993
2003-08-18;2,9848
2003-08-19;2,9973
2003-08-20;3,001
2003-08-21;3,0032
2003-08-22;2,9926
2003-08-25;2,9895
2003-08-26;2,9896
2003-08-27;2,9734
2003-08-28;2,9531
2003-08-29;2,9665
2003-09-01;2,984
2003-09-02;2,9789
2003-09-03;2,9568
2003-09-04;2,9418
2003-09-05;2,9216
2003-09-08;2,9155
2003-09-09;2,9306
2003-09-10;2,9125
2003-09-11;2,8991
2003-09-12;2,8959
2003-09-15;2,8898
2003-09-16;2,8967
2003-09-17;2,9057
2003-09-18;2,8975
2003-09-19;2,9065
2003-09-22;2,9021
2003-09-23;2,9145
2003-09-24;2,9244
2003-09-25;2,9306
2003-09-26;2,9373
2003-09-29;2,9374
2003-09-30;2,9234
2003-10-01;2,9034
2003-10-02;2,8989
2003-10-03;2,8875
2003-10-06;2,8753
2003-10-07;2,8701
2003-10-08;2,8444
2003-10-09;2,8422
2003-10-10;2,8401
2003-10-13;2,8371
2003-10-14;2,8425
2003-10-15;2,8268
2003-10-16;2,8409
2003-10-17;2,8635
2003-10-20;2,8839
2003-10-21;2,8642
2003-10-22;2,8602
2003-10-23;2,8698
2003-10-24;2,8695
2003-10-27;2,8728
2003-10-28;2,8675
2003-10-29;2,8537
2003-10-30;2,844
2003-10-31;2,8562
2003-11-03;2,8559
2003-11-04;2,8607
2003-11-05;2,8596
2003-11-06;2,8708
2003-11-07;2,8699
2003-11-10;2,8807
2003-11-11;2,8955
2003-11-12;2,9112
2003-11-13;2,9196
2003-11-14;2,9418
2003-11-17;2,9546
2003-11-18;2,9421
2003-11-19;2,9507
2003-11-20;2,948
2003-11-21;2,9301
2003-11-24;2,927
2003-11-25;2,9246
2003-11-26;2,9361
2003-11-27;2,9477
2003-11-28;2,9494
2003-12-01;2,9341
2003-12-02;2,9273
2003-12-03;2,9316
2003-12-04;2,9403
2003-12-05;2,9398
2003-12-08;2,9422
2003-12-09;2,935
2003-12-10;2,9429
2003-12-11;2,9434
2003-12-12;2,942
2003-12-15;2,9293
2003-12-16;2,932
2003-12-17;2,9381
2003-12-18;2,9341
2003-12-19;2,9278
2003-12-22;2,9239
2003-12-23;2,9175
2003-12-24;2,9082
2003-12-26;2,8994
2003-12-29;2,8883
2003-12-30;2,8892
2003-12-31;2,8892
2004-01-02;2,8862
2004-01-05;2,8627
2004-01-06;2,8508
2004-01-07;2,8723
2004-01-08;2,8588
2004-01-09;2,8422
2004-01-12;2,8163
2004-01-13;2,8022
2004-01-14;2,8142
2004-01-15;2,8126
2004-01-16;2,8184
2004-01-19;2,8419
2004-01-20;2,8382
2004-01-21;2,8417
2004-01-22;2,8417
2004-01-23;2,8435
2004-01-26;2,8431
2004-01-27;2,8587
2004-01-28;2,8785
2004-01-29;2,9236
2004-01-30;2,9409
2004-02-02;2,9486
2004-02-03;2,9326
2004-02-04;2,9106
2004-02-05;2,9335
2004-02-06;2,95
2004-02-09;2,9341
2004-02-10;2,9198
2004-02-11;2,9253
2004-02-12;2,9042
2004-02-13;2,9085
2004-02-16;2,9066
2004-02-17;2,9125
2004-02-18;2,9296
2004-02-19;2,9509
2004-02-20;2,9878
2004-02-25;2,9403
2004-02-26;2,9369
2004-02-27;2,9138
2004-03-01;2,8945
2004-03-02;2,9086
2004-03-03;2,8812
2004-03-04;2,8878
2004-03-05;2,879
2004-03-08;2,8752
2004-03-09;2,8758
2004-03-10;2,8891
2004-03-11;2,9132
2004-03-12;2,9063
2004-03-15;2,9013
2004-03-16;2,9001
2004-03-17;2,907
2004-03-18;2,9135
2004-03-19;2,9
2004-03-22;2,9107
2004-03-23;2,9144
2004-03-24;2,9264
2004-03-25;2,9337
2004-03-26;2,941
2004-03-29;2,9365
2004-03-30;2,9216
2004-03-31;2,9086
2004-04-01;2,8904
2004-04-02;2,893
2004-04-05;2,8851
2004-04-06;2,8743
2004-04-07;2,8773
2004-04-08;2,8802
2004-04-12;2,8855
2004-04-13;2,8851
2004-04-14;2,8956
2004-04-15;2,9064
2004-04-16;2,9153
2004-04-19;2,9101
2004-04-20;2,9186
2004-04-22;2,9305
2004-04-23;2,9173
2004-04-26;2,9085
2004-04-27;2,9161
2004-04-28;2,9335
2004-04-29;2,9522
